SI,count,hate_speech,offensive_language,neither,class,tweet
24,3,2,1,0,0,@BeyondTomcat you'd like that wouldn't you fag
25,3,2,1,0,0,@Bidenshairplugs He looks like a fag and his time line is boring Zzzzzz
26,3,3,0,0,0,@BillionaireCrow @Neelahrelates your what's wrong with the white race you fuckin coon slaying piece of poop please die alone
27,3,2,1,0,0,@Blackman38Tide lmfao go to bed whitey &#128129;
28,3,2,1,0,0,@BloggerBoxing @rianscalia pass the Fosters faggot
29,3,2,1,0,0,@BloggerBoxing yea....what did it do for Maidana? It made him a greedy faggot loser. Atleast Broner is black...
30,3,2,1,0,0,@BossAce555 @Sounds_good_bro @BloggerBoxing yea u stupid faggot. I'm not leaving till like 5-6pm. Want a ride?
31,3,2,0,1,0,@BossMelle never followed him ignorant monkey
32,3,3,0,0,0,@BraxCity29 @maria_obregon_g @sophia_freeman1 3/4 of a citizen. I said it for you maria you spic
33,3,2,1,0,0,@BreeOlson @Gingerbeard66 your a nasty nigger whore
34,3,3,0,0,0,@Brenddan_ they said some bullshit. Damn niggers
35,3,2,1,0,0,@Brenddan_ wow!!! Are you comin back up here? &#128514;&#128514;&#128514;&#128514; they some bitch niggas
36,3,2,1,0,0,@Briana_Rashae I'd like to rape the bitch that posted that.
37,3,2,1,0,0,"@Brice2254 Fuck you, faggot."
38,3,2,1,0,0,@Brizgotti These new nigga hipster hypebeasts love all these faggot ass bright colors and Nike keeps giving them what they want smh
39,3,3,0,0,0,@Buckm00se @letsargueboxing sand nigger ran over some Kidd
40,3,3,0,0,0,@Buckm00se I don't like the sand nigger but it's entertaining like 6 knockdowns
41,3,2,1,0,0,@Buckm00se Joe Cortez is the ultimate faggot that fight proved it
42,3,2,1,0,0,@Buckm00se all us beaners were pissed like robert when the jew ref stopped it
43,3,2,1,0,0,@Buckm00se true sand niggers &amp; bum Brits claim he's a ATG hall of fame legend smh
44,3,2,0,1,0,@CBSThisMorning @charlierose racist @NorahODonnell tx trash racist why wld u intvw @MittRomney n ask racist questions itwas so disrespectful
45,3,3,0,0,0,"@CHARLESBARRKLEY hey Sir house nigger, uncle tom aren't you from grand ole Mississippi, I rest my case!"
46,3,3,0,0,0,@Campos_uli is a fag #hesgay
47,3,2,1,0,0,@CarelessOne92 you styl gotta get dem tweets off my nig
48,3,3,0,0,0,@ChaleCarlo5 fuck outta here and go put some more trash ass ink on your faggot ass self pussy
49,3,3,0,0,0,@ChaleCarlo5 stay talking defending your fuckboy ass boyfriend or what? go suck him off while youre at it faggot
50,3,2,1,0,0,@ChandailBailey @SteeZeyFLOW @HunturPls you need to accept the fact that you're both hipster faggots.
51,3,2,1,0,0,"@CharleeRedz13 your gay stfu, dumb monkey"
52,3,2,1,0,0,@ChaseBasford chase you God damn faggot &#128514;&#128557;&#128514;&#128557;
53,3,2,0,1,0,@CheCha__ be gone my nigguh
54,3,3,0,0,0,"@Cheesus85 @greyyygoose faaaaggggottttt, speaking with the blonde hair and confused, you're a hypocrite, cuz you're a faggot"
55,3,2,1,0,0,@Chink_19 shut up chink.!!!
56,3,2,1,0,0,"@Chris_Anzueto @Josh_Mackey15 you call someone a faggot and then say to kill themselves, you are a pathetic human being. A fucking disgrace."
57,3,3,0,0,0,@Christian_ESEM you don't know what your talking about retarded faggot
58,3,2,0,1,0,"@Cody_smith64 true! I miss yall man, yall are my brothers. Is mikey starting? And what about the chink? Lmfao"
59,3,2,1,0,0,@CrackerJhak Because you're a fag
60,3,2,1,0,0,@CsSalazar15 wetback &#128513;&#128514;&#128514;&#128514;&#128514;&#128557;
61,3,3,0,0,0,"@DaRealAlexInLA @Woody_AFC @Rodriguez5_ the nig is fun to watch got to admit, ebola boy can speak broken Spanish too lol"
62,3,2,1,0,0,@DangItsTiff you look like fucking shrek bitch
63,3,2,1,0,0,@DanielSizelove @Conrad_MLG get on cunt
64,3,2,1,0,0,@DarienDaywalt bitch shut the fuck up goddam your a slut bitch whore nigga
65,3,2,1,0,0,@Darienbaby_xoxo jk I'd fuck a dog before I fuck you fish pussy
66,3,2,1,0,0,@DatBoyRayT because if you support lesbians you have to support faggots there's no difference.
67,3,2,1,0,0,@DavetheBrave1 that hoe on some other shit bro rt and 100x better rn that a nigga high
68,3,2,1,0,0,@DeezNutsDoe I'd hate feeling like a faggot too punk ass hoe
69,3,2,1,0,0,@DeezNutsDoe how about you wash my butthole out with your tongue you little faggot
70,3,3,0,0,0,"@DefendWallSt Whatever! Fuck all those assholes. They're niggers, they all look alike to me."
71,3,2,1,0,0,"@DefendWallSt those little #ISIS faggots usually have bags over their heads anyway. 
Makes bullet placement interesting thru a scope."
72,3,2,1,0,0,@Derek_Kirchner7 @tori_mills02 fags&#128567;&#128567;
73,3,2,1,0,0,"@DestroTheNoble @nekolin purple &amp; pink....for the faggots who want to be protected...by the police, instead of BEARING ARMS if need be!"
74,3,2,1,0,0,@DevilFzyq @DevilElyie @TehDevilClan shut up fag
75,3,2,0,1,0,@DjChubbESwagg this like a retarded wu-tang clan
76,3,2,1,0,0,@DolanGang beans u beaner?
77,3,2,1,0,0,@DolanGang you wouldn't know fag
78,3,2,1,0,0,"@DonnerKay @surlyrevenant An enraged 6'4"" 290 lb Mike Brown lethal weapon on legs.His hatred 4 the police &amp; whitey added fuel 2 his arsenal"
79,3,2,1,0,0,@Drfreezeburnn @DaithiDeNogla I just learned how many retards you can find when you search trending topics.
80,3,2,1,0,0,@Drfreezeburnn That's not bias. It's an objective fact that Philly fans are cunts.
81,3,3,0,0,0,@EleyCome_EleyGo @caykelly16 movies don't matter as long as you do coon shit with coons you're a nigga!
82,3,2,1,0,0,"@EnglishBrit123 sounds like a good idea. But I want my word to be spread. Jews, niggers and commies alike."
83,3,2,1,0,0,@ErinTaylor14 @BRios82 you both sure do You want to give a free pass to every border jumper in this country you two are what's wrong here
84,3,2,1,0,0,@EvanBecker513 @_TriggaPlease_ @MorbidMermaid @zooyorkinit @_ShayisdaBOMB_ @Rainbowblake because she's a nigger
85,3,2,1,0,0,@EvanDMyers @nineinchessoft you have a redneck attitude. The same people that think Benghazzi is real think Fox fake nws is real. Your one
86,3,2,1,0,0,@Fardousaa becuz no man should celebrate his bday at a drreams #faggot
87,3,2,1,0,0,@Fit4LifeMike @chanelisabeth hoe don't make me put up screenshots of your texts to me hoe
88,6,4,1,1,0,@Flow935 jus wanted to let y&#225;ll know hope the hurricane kills your soca sunday trash #LORDWILLIN
89,3,2,1,0,0,@FrankieJGrande ew queer white thirsty bitch
90,3,3,0,0,0,@FrankieJGrande fugly queer white trash
91,3,2,1,0,0,@FrankieJGrande omg gtfo white faggot
92,3,3,0,0,0,@FreddyAmazin ratchet looking nigger
93,3,3,0,0,0,@FreeAJay you understand you look like a real life dyke right? Like you look like a WNBA dyke bro. A sports bra &amp; bball shorts wearing dyke
94,3,2,1,0,0,"@Fromtheshwa yes now get off twitter, you lame negros should have never learned how to use the Internet"
95,3,2,1,0,0,@FuckBoiRik hahahaha youza fuck wigger
96,3,2,1,0,0,"@Fugazi3011 ""leave you beaner retard"""
97,3,2,1,0,0,@Garner_412 heyyyyyyyyyyy fag boy am I gonna watch you play?
98,3,2,1,0,0,"@GeneTNBARockBox Says the old man :( I hope you can survive another 10 years, you silly Jigga boo monkey"
99,3,2,1,0,0,@GlitteredInPink hoe don't tweet me
100,3,2,1,0,0,"@GoDaddy Hope you guys do get attacked for supporting SOPA, bunch of dirty snake faggots."
101,3,2,1,0,0,"@God_loves_biebs Go pray in a church or something fag, no one cares about your religious bullshit."
102,3,2,0,1,0,"@Godsmack_Music @iTunesMusic @iTunes That band is white trash, and only white trash would buy that album."
103,3,3,0,0,0,@GossipCop Julie tell them crybaby blacks to get someone blk. and dress them up white faced......niggers always whining!
104,3,2,1,0,0,@GrizzboAdams @wyattnuckels haha ight nig calm yoself
105,3,2,1,0,0,@GrizzboAdams fucking block your white ass because you try to start shit like a fucking queer so fuck you NIGGA
106,3,2,1,0,0,@GrizzboAdams ight nigga haha fucking queer has to clear his schedule
107,3,2,1,0,0,@GrizzboAdams roid rage much faggot?
108,3,2,1,0,0,@Gutierrez_Alf legit retard
109,3,2,1,0,0,"@HarveyLevinTMZ @sly309 they want what I got, I want what they got, America.they got the word nigger, I want it to"
110,3,3,0,0,0,@HeauxmerSimpson I'm jus tryna vaca away from the niggers bro.
111,3,2,1,0,0,"@HeilSidious Sion is a faggot. Very meh ganks pre-6 and post-6 his ganks are still pretty meh he's just a tank, nothing special imo Mao +"
112,3,2,1,0,0,@Herfarm @SteveWorks4You @TheDemocrats your low info redneck dumbasses vote for these corporate shills that idiots like you believe #dummies
113,3,2,1,0,0,@Herfarm Move out of our country teabaggers!
114,3,2,1,0,0,@HollowDaDonLOM those god damn chinks. http://t.co/Bi6fgP5vGo
115,3,2,1,0,0,@Hovaa_ #niggerfood #niggerperson #you #are #a #nigger
116,6,4,2,0,0,@Hovaa_ ok wat ever u say whitey. u prolly never even seen shaft.
117,3,3,0,0,0,@Hovaa_ shut up lizard faggot nigger cunt
118,6,6,0,0,0,@Hovaa_ ya I know all the slang I'm racist I h8 porch monkies
119,3,3,0,0,0,@HuffingtonPost if the faggots can have a page y cant they?faggots offend me more than them
120,3,2,1,0,0,"@HuffingtonPost im American, don't give 2 shits about the beaners, ship them beaners back"
121,3,2,1,0,0,@HuffingtonPost y don't that bitch just shoot herself? so sick of all those whores!
122,3,2,1,0,0,@Hunglikerobby_ that was so gay. And I was tanning bitch. Juvie made me white
123,3,3,0,0,0,@Huntermoore happy cuz I woke up white and not a nigger!
124,3,2,1,0,0,@Huntermoore nigger!!
125,3,3,0,0,0,@IDisDummies Can you speak one coherent sentence without sounding like a nig? Seriously.
126,3,2,1,0,0,@IGGYAZALEA it was a joke you fugly bitch be happy uncle snoop even acknowledged your nasty ass lmao
127,3,2,1,0,0,"@IWantHis_Heart Ok u fat precious lookin ass bitch, u big fat back at the barnyard lookin ass bitch. I can fix my grammar but u still fat"
128,3,2,1,0,0,@IamShady_ that's not even a real word! Must have hit a blunt and started making up shit with your nigger ass lol
129,3,2,1,0,0,@Iemonaids done that spell check we know you meant fat liberal Dyke feminist Nazi bitches
130,3,3,0,0,0,@ImToBlame you a fatherless wallet carrying ass video game playing ass negro breh. You filth. No way you can afford to date a #TwitterHoney.
131,3,2,1,0,0,@Im_Thirst randies are fags
132,3,2,1,0,0,@ImpactParasite just fuckin roasted this faggot
133,3,2,1,0,0,@InTheOvenJews @SlaveCatcher88 @marylene58 we should hang out ovenjew. Have a lot in common. People waste time on nigs. Jews r r problem.
134,3,2,1,0,0,@InfidelAlie that should read suck on my bacon encrusted middle finger Muslim twats
135,3,2,1,0,0,@ItsKeeshKapeesh *yourself *faggot buy a dictionary
136,3,2,1,0,0,"@ItsMander @kfc
You can always gets da colored folk back in da cage wit da KFC"
137,3,2,1,0,0,@ItsYOUR_man nothin much cousin touching white trash wigger wannabe bitch boy dick sucking fucking gay bitch
138,3,2,0,1,0,@JGardenofEden @KySportsRadio @ryanlemond But...country music listeners really are hicks and alcoholics &#128514;&#128514;
139,3,2,1,0,0,@JMC2488 @jetsgreen @TB12FAN and fuck you too ya little bitch you look like a Mexican sucking a cock in ur profile
140,3,2,0,1,0,@JOLTNG niger
141,3,3,0,0,0,"@JPantsdotcom @Todd__Kincannon @the__realtony I'm partial, faggot..homo...both fairly describes the same sick twisted Assholes out there."
142,3,2,1,0,0,@JRise88 @G_Anderson4 what do you want fag
143,3,2,1,0,0,@JRise88 @LongLiveTylerD your a fag
144,3,2,1,0,0,@JRise88 shut up you stupid bitch
145,3,2,1,0,0,@JacobbBacker fag
146,3,3,0,0,0,@JacobbBacker you don't know shit about me faggot bitch
147,3,3,0,0,0,@JadeGreenleaf fag
148,3,2,1,0,0,@JaiBrooks1 faggot
149,3,2,1,0,0,@JaiBrooks1 not funny u faggot
150,3,2,1,0,0,@JaiBrooks1 ur brother looks so queer and ugly
151,3,2,0,1,0,"@JasonMoriarty13 I remember his nephew Lucas crying and dan saying ""quit being such a pussy and grow a pair"" or something. &#128514;&#128557; dans so funny."
152,3,2,1,0,0,@Jaytwofly @G_MUCKA good leave you stupid faggot
153,3,2,1,0,0,"@Jaytwofly huh, lol mad nigger is mad"
154,3,2,1,0,0,@JewelsAndDrugs9 @ladygaga @madonna lmao madonnas music sucks? yeah you're fucking stupid if you think gaga is better. retard
155,3,2,1,0,0,@JimBoberson happy birthday faggot
156,3,2,1,0,0,"@JizzAtTheScene and how am I assume shit 
,hmm cuz u don't know what fuck u talking about crackers these days."
157,3,2,1,0,0,@JoeDouglas1 I guess blaspheme to your Allah is ok if your pos muzzie huh? @JewJitsuGrl @efilnikcufecin7 @Darknight420
158,3,3,0,0,0,@JoeDouglas1 sit down and stfu raghead @Darknight420 @hajihuntingpat
159,3,3,0,0,0,@Joey_D26 sweet comeback u fuckin herb I dnt watch soccer but id still wax your bitch ass in it go swallow the red soxs kids ur from NYC fag
160,3,2,1,0,0,"@JuanYeeze damn took this dumb spic nearly 2 days to respond, wuz really good tho beaner?"
161,3,2,1,0,0,"@JuanYeeze shut yo beaner ass up spic and hop your faggot ass back across the border little nigga, go listen to some pitbull"
162,3,2,1,0,0,@JungleFeverFren fuck u nigger
163,3,3,0,0,0,@KLSouth @Miss_Didi23 is an evil hate whitey racist who thinks Delbert Belton deserved it. @MaryForbes14 @EnemiesofDonnaJ @StephAnnAnson
164,3,2,1,0,0,@KamRenee ugly nigger
165,3,2,1,0,0,"@KeebitHalal @LogansWarning gotta love it when the islamofascist cow tries to make a retort about age, typical muzzie idiocy"
166,3,2,0,1,0,"@Ken_GTH nahh , whatever you are spook or spic, I still don't like you . Good day"
167,3,2,1,0,0,@Kenny__Wright @itsfrankybitch @yoPapi_chulo so if your 17 and in high school you dont have your own house you fucking faggot
168,3,2,1,0,0,@Kevin_McAdams Because Ian's retarded
169,3,2,0,1,0,"@KingHov1313 i got a dyke wit a child as whse mgr, and she jus hired another girlboy dis week...."
170,3,2,1,0,0,@King_Albert21 @Ceto_13 u pulled.that queer shit as spon as u put no homo lol
171,6,4,2,0,0,"@KuntaKayne I have never seen such ignorant, illiterate pieces of shit in my life. Bring in Natl Guard &amp; disperse this trash. @bassem_masri"
172,7,6,1,0,0,@L1LTR4P fucking losers wetbacks #SorryNotSorry
173,3,3,0,0,0,@Legionary1488 @JomavaesJos now we have a Ebloa case in Texas. If we kill all the niggers we might be safe.
174,3,2,1,0,0,@LeonBaptist idk you into mouthy spics on welfare with 6 kids and 3 baby daddy's?
175,3,3,0,0,0,@Levi_Page I don't bend that way queer. Thanks for the offer it's flattering.
176,3,3,0,0,0,@LexVan13 go back to nigeria faggot
177,3,2,0,1,0,@Lil_A47 &#128514;&#128514;&#128514; you're a coon
178,3,2,1,0,0,"@LobstrThinkTank Yeah! Me too. My people, the women, laff at the set apart men... they love the real niggas or niggers."
179,3,2,0,1,0,"@LokiHulibele @mediacrooks @AamAadmiParty They have mix, not all are retards. AAP is Maoists, terrorists,Congies and delusional Retards"
180,3,2,1,0,0,@Lovelesslovely @Kwitchabichen25 hey aklve! Im taking out the black ghetto trash. Youre blocked nigger
181,3,3,0,0,0,@MakeAnothaHov T.o. was a faggot crybaby
182,3,2,1,0,0,@MarianCristinax you a fag b
183,3,3,0,0,0,@MarkHalperin @WSJopinion @BarackObama Anything to trash this black President!!
184,3,3,0,0,0,@MattHomeTeam - you know what you did you faggot. There are literally thousands of people that have you on their radar homo
185,3,2,1,0,0,@Matt_Petrie22 geta Life faggot
186,3,3,0,0,0,@Maxwell_Larsen your a cunt
187,3,2,1,0,0,@McwilliamsBrett shut your legs hoe
188,3,3,0,0,0,@MenachemDreyfus @NatlFascist88 @waspnse Shit your ass and shabbat your moms pussy u Jew bastard. Ur times coming. Heil Hitler!
189,3,2,1,0,0,@MilesM_05 shut up coon.
190,3,2,1,0,0,@MillerLite I don't follow you because everything about your company is white trash.
191,3,2,1,0,0,@Mimistheone You really seem to love Sandusky. Weirdo. Ur a creepy ass cracker!
192,3,2,1,0,0,@Mimistheone stop trolling me u creepy ass cracker!!!
193,3,2,1,0,0,"@Misplaced_Momma 
She be what we say in da hood white trash"
194,3,2,0,1,0,"@Misplaced_Momma 
Y&#8217;all whitey gots to PAY fo da preparations"
195,3,2,1,0,0,@Montea_Rollin @kayysavage I wasn't serious bitch &#128514; bitch them niggas i named ain't fuccing witcho ass &#128514;&#128557; we all just making shit up &#128527;&#128553;
196,3,2,1,0,0,@MorbidMermaid I swear to god nigger you better still hang with me before work. You got my hype
197,3,2,1,0,0,@MorbidMermaid do you work today niglet?
198,3,2,1,0,0,@MrMooncricket @AtBlackface @UncleUnco @BobbyBotsods @FuckTheMallcops @RacistNegro69 ugly gay nigga bitch fucking peace of shit
199,3,3,0,0,0,@MrMooncricket @FuckTheMallcops @AtBlackface @UncleUnco @BobbyBotsods @RacistNegro69 y'all is coons n uncle toms
200,3,2,1,0,0,"@MrMooncricket @RacistNegro69 fuck you, stupid ass coward ass punk bitch faggot ass racist piece of shit. Punk. Bitch, ain't worth my time!"
201,3,2,1,0,0,"@MyNameShouldBe only one problem theres a ""no pussies allowed"" sorry @kerrythekilla..."
202,3,2,1,0,0,@NOT_UR_BRO @niccol3_xo lmao nigga shoulda said I would be balless bc dat cold bitch wont stop blowin me#swaagg
203,3,2,1,0,0,"@NYRKelsMads @DaniloNavarro85 Hey fag, I said this was your aunts. *He* said it was you."
204,3,3,0,0,0,@NatlFascist88 @waspnse Jews and white race traitors have to be swept clean so the Aryan race can survive.
205,3,2,1,0,0,@Newser big fucking deal...cry baby niggers
206,3,2,0,1,0,@Nien_Nunb what did you search? Gay redneck episode 1 play?
207,3,2,1,0,0,@NotoriousBM95 @gezus__ @Rodriguez5_ your getting blocked faggot
208,3,2,1,0,0,@NyJusDntGAF just like a nig to come home when ever they want
209,3,2,1,0,0,@OG_HARM @moetzart @duckydynamo look at this nigger ass nigger shit right here
210,3,2,1,0,0,@OVOtilUOverDose @flossinlawson11 niggers*
211,3,3,0,0,0,@OfficialSkai dont tell me what to do. fuck balls kike nigger cunt tits cocksucker chink spic piss bitch bastard pussy faggot.
212,3,3,0,0,0,@OfficialSkaiS kill yourself ugly ass monkey looking shit
213,3,2,1,0,0,@Ole_Boy @m10eezy yes I'm white washed because I don't go around repping my hood and saying a bunch of ignorant nig terms.
214,3,2,1,0,0,@Oskzilla fuck you fag!
215,3,2,1,0,0,@Oskzilla fuck you niggah you gay. Lol
216,3,0,3,0,1,!!!!! RT @mleew17: boy dats cold...tyga dwn bad for cuffin dat hoe in the 1st place!!
217,3,0,3,0,1,!!!!!!! RT @UrKindOfBrand Dawg!!!! RT @80sbaby4life: You ever fuck a bitch and she start to cry? You be confused as shit
218,3,0,2,1,1,!!!!!!!!! RT @C_G_Anderson: @viva_based she look like a tranny
219,6,0,6,0,1,!!!!!!!!!!!!! RT @ShenikaRoberts: The shit you hear about me might be true or it might be faker than the bitch who told it to ya &#57361;
220,3,1,2,0,1,"!!!!!!!!!!!!!!!!!!""@T_Madison_x: The shit just blows me..claim you so faithful and down for somebody but still fucking with hoes! &#128514;&#128514;&#128514;"""
221,3,0,3,0,1,"!!!!!!""@__BrighterDays: I can not just sit up and HATE on another bitch .. I got too much shit going on!"""
222,3,0,3,0,1,!!!!&#8220;@selfiequeenbri: cause I'm tired of you big bitches coming for us skinny girls!!&#8221;
223,3,0,3,0,1,""" &amp; you might not get ya bitch back &amp; thats that """
224,3,1,2,0,1,""" @rhythmixx_ :hobbies include: fighting Mariam""

bitch"
225,3,0,3,0,1,""" Keeks is a bitch she curves everyone "" lol I walked into a conversation like this. Smh"
226,3,0,3,0,1,""" Murda Gang bitch its Gang Land """
227,3,0,2,1,1,""" So hoes that smoke are losers ? "" yea ... go on IG"
228,3,0,3,0,1,""" bad bitches is the only thing that i like """
229,3,1,2,0,1,""" bitch get up off me """
230,3,0,3,0,1,""" bitch nigga miss me with it """
231,3,0,3,0,1,""" bitch plz whatever """
232,3,1,2,0,1,""" bitch who do you love """
233,3,0,3,0,1,""" bitches get cut off everyday B """
234,3,0,3,0,1,""" black bottle &amp; a bad bitch """
235,3,0,3,0,1,""" broke bitch cant tell me nothing """
236,3,0,3,0,1,""" cancel that bitch like Nino """
237,3,0,3,0,1,""" cant you see these hoes wont change """
238,3,0,3,0,1,""" fuck no that bitch dont even suck dick "" &#128514;&#128514;&#128514; the Kermit videos bout to fuck IG up"
239,3,0,3,0,1,""" got ya bitch tip toeing on my hardwood floors "" &#128514; http://t.co/cOU2WQ5L4q"
240,3,0,2,1,1,""" her pussy lips like Heaven doors "" &#128524;"
241,3,0,3,0,1,""" hoe what its hitting for """
242,3,0,3,0,1,""" i met that pussy on Ocean Dr . i gave that pussy a pill "" &#128524;"
243,3,0,3,0,1,""" i need a trippy bitch who fuck on Hennessy """
244,3,0,3,0,1,""" i spend my money how i want bitch its my business """
245,3,0,3,0,1,""" i txt my old bitch my new bitch pussy wetter """
246,3,0,3,0,1,""" i'd say im back to the old me but my old bitches would get excited "" &#128524;"
247,3,0,3,0,1,""" if you aint bout that Murder Game pussy nigga shut up """
248,3,0,3,0,1,""" if you're toes ain't done you pussy stinks """
249,3,0,3,0,1,""" im done with bitter bitches its a wrap for that . if you a angry bird theres a app for that """
250,3,0,3,0,1,""" is that ya bitch """
251,3,0,3,0,1,""" it aint nothing to cut a bitch off """
252,3,0,3,0,1,""" jus meet son now he ya mane ass bitches "" #Shots"
253,3,0,2,1,1,""" lames crying over hoes thats tears of a clown """
254,3,0,3,0,1,""" like Snoop said in 94 we dont love these hoes """
255,3,0,3,0,1,""" most hated but the hoes favorite "" #2MW #SevenOne # http://t.co/BMdSVMc3rC"
256,3,0,3,0,1,""" nice girls bad, make me get naughty. Bad yello hoe, real nice body. Down south chick, like em real thick"" http://t.co/bzRDl3kF7U"
257,3,0,3,0,1,""" pimps up pimps up hoes down "" Future voice"
258,3,0,3,0,1,""" post a picture of that pussy get 200 likes """
259,3,0,3,0,1,""" pussy is a powerful drug "" &#128517; #HappyHumpDay http://t.co/R8jsymiB5b"
260,3,0,3,0,1,""" quick piece of pussy call it a drive by """
261,3,0,3,0,1,""" running round here like some brand new pussy thats bout to get fucked """
262,3,0,3,0,1,""" these bitches even worst they'll send them guys for you """
263,3,1,2,0,1,""" these hoes like niggas that spend money not talk bout it """
264,3,1,2,0,1,""" we dont trust these niggas all these bitches """
265,3,0,3,0,1,""" yall niggas b cuffing hoes cause yall aint never have bitches """
266,3,0,3,0,1,""" you dodge a bullet "" &#128517; &#8220;@DaRealKha: ""All da bitches I cut off pregnant or bound to be ....thank God &#128591;""&#8221;"
267,3,0,3,0,1,""" young Pill Chamberlain these bitches love my music """
268,3,0,2,1,1,"""&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;@VandalSavage_: Teanna Trump probably cleaner than most of these twitter hoes but........."""
269,3,0,3,0,1,"""&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;@DaHomieFuzz: Gay niggas couldn't wait to act like bitches tonight"""
270,3,0,3,0,1,"""&#128514;&#128514;&#128514;@The_Paradox: And ima steal his cat n replace it with a pitbull &#128514;&#128514;&#128514;&#128514; RT @80sbaby4life: @The_Paradox He a bitch you should do it"""
271,3,0,3,0,1,"""&amp; he's gone always be a hoe"""
272,3,0,3,0,1,"""...Son of a bitch took my Tic Tacs.""

I like this movie."
273,3,0,3,0,1,"""..All I wanna do is get money and fuck model bitches!"" - Russell Simmons"
274,3,0,2,1,1,"""@2015seniorprobs: I probably wouldn&#8217;t mind school as much if we didn&#8217;t have to deal with bitch ass teachers"". Retweet"
275,3,0,3,0,1,"""@A7XDemery: I'm a fucking fag they said"""
276,3,0,3,0,1,"""@ARIZZLEINDACUT: Females think dating a pussy is cute now? http://t.co/VxBJg26Gsz"" how does doing this stuff make him a pussy?"
277,3,0,3,0,1,"""@AdoreBellaaa: Have ya ever asked your bitch for other bitches - kanye voice"" Yes"
278,3,0,3,0,1,"""@AdoreZoey: How u gone bring ur side bitch to a game where You know Ya gf friends at ?! &#128553;&#128553;&#128553;&#128553;"" I SWEAR!!!!!"
279,3,0,3,0,1,"""@Almightywayne__: @JetsAndASwisher @Gook____ bitch fuck u http://t.co/pXmGA68NC1"" maybe you'll get better. Just http://t.co/TPreVwfq0S"
280,3,1,2,0,1,"""@Almightywayne__: Fuck Red Malone man bitch ass niggah"" could you please use complete sentences?"
281,3,0,3,0,1,"""@AutoWorId: Hennessey Venom GT &#128584; http://t.co/i8eGMnKaJ9"" that's one sexy bitch"
282,3,0,3,0,1,"""@BOSSBYTCHH: Him seh me pussy wetter then a shower curtain....#ahmesehwetness""&lt;lmao!!"
283,3,0,3,0,1,"""@BRO_HEN314: #Eaglesnation and every #Eagles need to see that pic I just posted because that bitch just said the most racist shit"""
284,3,1,2,0,1,"""@BVSEDCHINK: Yo fuck skateboarding, all y'all some wood pushing faggots man, ball is life http://t.co/VBCzP6HMT7""
@AmJemieBenn"
285,3,0,3,0,1,"""@BaylaaGottaBody: &#128514;&#128514;&#128514;&#128514; I ain't shit ."" Damn Skippy lol"
286,3,1,2,0,1,"""@BeEasyJrizzy: u ever kill a ant on the sidewalk and think damn what if that nigga was on his way to get some pussy""No bs must b &gt;30%chance"
287,3,0,3,0,1,"""@BeenBasedB: @_KudaBrazyy http://t.co/LuUBGL9Y5u"" 0 rings 0 mvps 0 bitches lol"
